ID,Value,Comment,Syntactic_Role,Particle
data-01-yakari-01-p-135-078,n,,,
data-01-yakari-01-p-135-080,n,,,
data-01-yakari-01-p-135-081,n,,,
data-01-yakari-01-p-135-082,n,,,
data-01-yakari-01-p-135-085,n,,,
data-01-yakari-01-p-135-087,n,,,
data-01-yakari-01-p-135-088,n,,,
data-01-yakari-01-p-135-090,n,,,
data-01-yakari-01-p-137-092,n,,,
data-01-yakari-01-p-137-094,n,,,
data-01-yakari-01-p-137-095,n,,,
data-01-yakari-01-p-137-096,n,,,
data-01-yakari-01-p-137-099,n,,,
data-01-yakari-01-p-137-100,n,,,
data-01-yakari-01-p-137-102,n,,,
data-01-yakari-01-p-139-108,n,,,
data-01-yakari-01-p-139-109,n,,,
data-01-yakari-01-p-139-111,n,,,
data-01-yakari-01-p-139-112,n,,,
mini-disc-lsmtam13set0001-marciano-little-introduction-001,n,,,
mini-disc-lsmtam13set0001-marciano-little-introduction-002,n,,,
mini-disc-lsmtam13set0001-marciano-little-introduction-003,posp,[*jijomii tae*] ... [*tarëno tae*],obl,
mini-disc-lsmtam13set0001-marciano-little-introduction-004,part,[*mëe marë*] [*Sesu marë*] -- part of speech?,obl?,marë
mini-disc-lsmtam13set0001-marciano-little-introduction-005,posp,[*serë pë*] [*panpira pë*],obl,
minidisc-xxx-mukusa-nasau-sep-2000-002,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-003,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-004,n,What is the argument structure here?,,
minidisc-xxx-mukusa-nasau-sep-2000-005,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-007,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-008,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-012,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-014,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-015,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-017,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-019,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-020,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-021,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-027,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-035,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-038,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-041,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-042,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-058,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-061,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-001,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-002,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-008,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-009,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-011,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-012,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-013,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-014,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-020,np_arg,DEM NP POSTP!,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-021,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-022,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-023,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-024,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-027,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-029,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-039,n,good example of possr possm part postp,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-040,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-041,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-043,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-050,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-052,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-058,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-062,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-063,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-067,n,,,
minidisc-xxx-oiapoque-pona-iitetoponpe-sep-2000-073,n,,,
minidisc-xxx-torohpe-iwehtoponpe-001,n,,,
minidisc-xxx-torohpe-iwehtoponpe-002,posp,[*ipërih tae*] [*anja eekuhpë*] -- interesting postpositional behavior,obl,
minidisc-xxx-torohpe-iwehtoponpe-004,n,,,
minidisc-xxx-torohpe-iwehtoponpe-005,n,,,
minidisc-xxx-torohpe-iwehtoponpe-009,n,,,
minidisc-xxx-torohpe-iwehtoponpe-010,n,,,
minidisc-xxx-torohpe-iwehtoponpe-011,n,,,
textos-01-asehpe-p-001-002,n,,,
textos-01-asehpe-p-001-004,n,,,
textos-01-asehpe-p-001-006,n,,,
textos-01-asehpe-p-003-009,n,,,
textos-01-asehpe-p-003-010,n,,,
textos-01-asehpe-p-003-011,n,,,
textos-01-asehpe-p-003-012,n,,,
textos-01-asehpe-p-003-013,n,,,
textos-01-asehpe-p-003-015,n,,,
textos-01-asehpe-p-003-017,n,,,
textos-01-asehpe-p-005-020,n,,,
textos-01-asehpe-p-005-021,n,,,
textos-01-asehpe-p-005-024,n,,,
textos-01-asehpe-p-005-030,n,,,
textos-01-asehpe-p-005-031,n,,,
textos-01-asehpe-p-007-033,n,,,
textos-01-asehpe-p-007-035,n,,,
textos-01-asehpe-p-007-036,n,,,
textos-01-asehpe-p-007-040,n,,,
textos-01-asehpe-p-007-044,n,,,
textos-01-asehpe-p-009-047,n,,,
textos-01-asehpe-p-009-048,n,,,
textos-01-asehpe-p-009-050,n,,,
textos-01-asehpe-p-009-052,n,,,
textos-01-asehpe-p-009-053,n,,,
textos-01-asehpe-p-009-055,n,,,
textos-01-asehpe-p-009-057,n,,,
textos-01-asehpe-p-009-058,n,,,
textos-01-asehpe-p-011-061,n,,,
textos-01-asehpe-p-011-062,n,,,
textos-01-asehpe-p-011-063,n,,,
textos-01-asehpe-p-011-064,n,,,
textos-01-asehpe-p-011-066,n,,,
textos-01-asehpe-p-011-067,n,,,
textos-01-asehpe-p-011-068,n,,,
textos-01-asehpe-p-011-069,n,,,
textos-01-asehpe-p-011-070,n,,,
textos-01-asehpe-p-011-071,n,,,
textos-01-asehpe-p-011-073,n,,,
textos-01-asehpe-p-013-078,n,,,
textos-01-asehpe-p-013-079,n,,,
textos-01-asehpe-p-013-081,n,,,
textos-01-asehpe-p-013-084,n,,,
textos-01-asehpe-p-013-085,n,,,
textos-01-asehpe-p-015-091,n,,,
textos-01-asehpe-p-015-093,n,,,
textos-01-asehpe-p-015-100,n,,,
textos-01-asehpe-p-015-101,n,,,
textos-01-asehpe-p-017-102,n,,,
textos-01-asehpe-p-017-103,n,,,
dados-07-frog-story-marciano-p-089-007,np,,,
dados-09-kereramake-p-033-096,n,,,
dados-09-kereramake-p-041-249,n,,,
dados-09-kereramake-p-047-357,n,,,
data-01-yakari-01-p-127-033,n,,,
minidisc-xxx-mukusa-nasau-sep-2000-045,n,,,
