ID,Value,Comment,Syntactic_Role,Pre_Screened
derbyshire-1965-p-023-the-origin-of-the-moon-002,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-003,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-004,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-005,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-006,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-007,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-008,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-009,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-010,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-011,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-013,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-014,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-015,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-017,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-018,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-020,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-021,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-022,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-023,n,,,y
derbyshire-1965-p-023-the-origin-of-the-moon-026,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-027,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-028,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-030,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-031,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-032,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-033,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-034,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-036,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-037,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-039,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-040,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-041,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-042,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-043,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-044,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-045,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-046,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-047,n,,,y
derbyshire-1965-p-024-the-origin-of-the-moon-048,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-050,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-051,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-052,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-054,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-055,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-056,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-057,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-058,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-061,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-063,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-065,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-066,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-067,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-073,n,,,y
derbyshire-1965-p-025-the-origin-of-the-moon-074,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-001,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-003,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-005,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-006,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-010,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-012,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-013,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-014,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-015,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-017,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-018,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-019,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-020,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-021,n,,,y
derbyshire-1965-p-028-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-023,n,,,y
derbyshire-1965-p-029-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-024,n,,,y
derbyshire-1965-p-029-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-025,n,,,y
derbyshire-1965-p-029-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-026,n,,,y
derbyshire-1965-p-029-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-027,n,,,y
derbyshire-1965-p-029-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-028,n,,,y
derbyshire-1965-p-029-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-029,n,,,y
derbyshire-1965-p-029-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-030,n,,,y
derbyshire-1965-p-029-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-031,n,,,y
derbyshire-1965-p-029-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-032,n,,,y
derbyshire-1965-p-029-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-033,n,,,y
derbyshire-1965-p-029-the-origins-of-the-buzzard-the-sloth-and-the-land-turtle-036,n,,,y
